Entity,Type
Goa'uld,PERSON
O'Neill,PERSON
Teal,PERSON
Kendra,PERSON
Gairwyn,GPE
Carter,PERSON
Daniel,PERSON
Daniel,PERSON
Goa'uld,PRODUCT
Carter,PERSON
Kendra,PERSON
Gairwyn,PRODUCT
Kendra,PERSON
KENDRA,PERSON
all those years,DATE
O'Neill,PERSON
"CARTER 
Teal'c",PERSON
Jaffa,PERSON
Goa'uld,PERSON
"CARTER 
This Jaffa",PERSON
Goa'uld,PERSON
DANIEL,PERSON
Goa'uld,PERSON
Jaffa,PRODUCT
Jaffa,PERSON
Hammer,PERSON
Goa'uld,PERSON
Goa'uld,PERSON
"DANIEL 
Teal'c",PERSON
Apophis,ORG
one,CARDINAL
Kendra,PERSON
Carter,PERSON
Daniel,PERSON
Valkyrie,PRODUCT
Carter,PERSON
Daniel,PERSON
GAIRWYN,PERSON
Thor,PERSON
Gairwyn,PERSON
first,ORDINAL
O'Neill,ORG
Teal,ORG
Teal,PERSON
O'Neill,PERSON
Unas,PERSON
TEAL'C,PERSON
THE MOUNTAIN,GPE
Teal,PERSON
Teal,PERSON
O'Neill,PERSON
Teal,PERSON
Daniel Jackson,PERSON
Goa'uld,PERSON
O'Neill,PERSON
O'Neill,PERSON
Teal,PERSON
Kendra,PERSON
two,CARDINAL
three,CARDINAL
Kendra,PERSON
Thor,PERSON
Hammer,PERSON
Carter,PERSON
Daniel,PERSON
Thor,PERSON
Kendra,PERSON
Daniel,PERSON
"CARTER 
Great",PERSON
Carter,PERSON
Carter,PERSON
Carter,PERSON
Daniel,PERSON
Kendra,PERSON
Kendra,PERSON
Jebanna,GPE
Goa'uld,PERSON
"KENDRA 
Marduk",PERSON
KENDRA,PERSON
Goa'uld,PERSON
CARTER,PERSON
Teal,PERSON
Goa'uld,PERSON
ages ago,DATE
Cimmeria,PERSON
DANIEL,PERSON
Goa'uld,PERSON
Cimmeria,GPE
Labyrinth,FAC
Thor's Hammer,PERSON
Thor,PERSON
MOUNTAIN,GPE
O'Neill,GPE
"O'NEILL 
 Water.",ORG
a couple hundred years,DATE
O'Neill,PERSON
Unas,LOC
O'Neill,PERSON
Teal,PERSON
Teal,PERSON
"UNAS 
Jaffa",ORG
Unas,PERSON
First,ORDINAL
Teal,ORG
Unas,ORG
Goa'uld,PERSON
UNAS,ORG
Unas,PERSON
O'Neill,PERSON
UNAS,ORG
Teal,ORG
one,CARDINAL
O'Neill,PERSON
Unas,PERSON
Unas,ORG
O'Neill,ORG
Unas,PERSON
O'Neill,PERSON
Unas,GPE
Unas,PERSON
Teal,ORG
Unas,GPE
First,ORDINAL
O'Neill,PERSON
Unas,FAC
a few seconds,TIME
Kendra,PERSON
Daniel,PERSON
Carter,PERSON
Kendra,PERSON
Kendra,PERSON
O'Neill,ORG
Teal'c,ORG
two,CARDINAL
Unas,PERSON
first,ORDINAL
Goa'uld,PERSON
a thousand years,DATE
Unas,ORG
O'Neill,PERSON
Teal,PERSON
O'Neill,PERSON
O'Neill,PERSON
Teal,PERSON
Kendra,PERSON
Carter,PERSON
Daniel,PERSON
Carter,PERSON
"DANIEL 
Kendra—",PERSON
Kendra,PERSON
Goa'uld,PERSON
"DANIEL 
Well",PERSON
Sha,PERSON
KENDRA,PERSON
DANIEL,GPE
Carter,PERSON
O'Neill,GPE
O'Neill,PERSON
Unas,PERSON
O'Neill,ORG
Teal's,ORG
Kendra,PERSON
Carter,PERSON
Daniel,PERSON
"KENDRA 
 Gairwyn",PERSON
Thor,PERSON
this centuries ago,DATE
"DANIEL 
Thor",PERSON
Kendra,PERSON
"CARTER 
Daniel",PERSON
hours ago,TIME
CARTER,PERSON
Daniel,PERSON
Carter,PERSON
CARTER,PERSON
Goa'uld,NORP
DANIEL,PERSON
CARTER,PERSON
Gairwyn,PERSON
"CARTER 
Daniel",PERSON
Kendra,PERSON
Sha,PERSON
Daniel,PERSON
Carter,PERSON
Daniel,PERSON
Kendra,PERSON
Carter,PERSON
Daniel,PERSON
O'Neill,GPE
O'Neill,PRODUCT
Teal,ORG
O'Neill,PERSON
Teal,PERSON
Unas,ORG
KENDRA,GPE
Hammer,PRODUCT
Gate,FAC
DANIEL,GPE
Hammer,PRODUCT
Hammer,PRODUCT
"CARTER 
Okay",GPE
Labyrinth,PERSON
Carter,PERSON
Thor,PERSON
Goa'ulds,PERSON
"DANIEL 
Thor",PERSON
one,CARDINAL
Carter,PERSON
Daniel,PERSON
DANIEL,PERSON
Kendra,PERSON
KENDRA,PERSON
Teal'c,ORG
O'Neill,ORG
Hammer,PRODUCT
O'Neill,PERSON
Teal,PERSON
O'Neill,PERSON
O'Neill,PERSON
Hammer,PERSON
O'Neill,PERSON
Unas,PERSON
Hall of Mjollnir,FAC
O'Neill,PERSON
DAY,GPE
Carter,PERSON
Daniel,PERSON
KENDRA,PERSON
Carter,PERSON
Daniel,PERSON
Carter,PERSON
Carter,PERSON
Kendra,PERSON
Daniel,PERSON
INT—HALL OF MJOLLNIR,FAC
Unas,GPE
"O'NEILL 
Teal'c",PERSON
"UNAS 
 Human",ORG
Jaffa,PERSON
Goa'uld,PERSON
Unas,NORP
millions,CARDINAL
O'Neill,PERSON
one,CARDINAL
Teal,PERSON
Unas,PERSON
Hammer,PERSON
"DANIEL 
Gunfire",PERSON
INT—HALL OF MJOLLNIR,PRODUCT
O'Neill,ORG
Teal,ORG
Hammer,PERSON
Daniel,PERSON
O'Neill,ORG
one,CARDINAL
Thor,PERSON
Unas,ORG
Teal,PERSON
Hammer,PERSON
Teal'c,PERSON
Carter,PERSON
Daniel,PERSON
Kendra,PERSON
O'Neill,PERSON
Hall,FAC
Hammer,PERSON
Unas,GPE
Carter,PERSON
Daniel,PERSON
Kendra,PERSON
the Hall,FAC
Goa'uld,GPE
O'Neill,GPE
Kendra,PERSON
O'Neill,GPE
Goa'uld,PERSON
O'Neill and Teal'c,WORK_OF_ART
Kendra,PERSON
Hammer,PERSON
Hammer,PERSON
Daniel,PERSON
Sha,PERSON
Skaara,PERSON
"O'NEILL 
Teal'c's",ORG
O'Neill,PERSON
Daniel,PERSON
O'Neill,PERSON
Daniel,PERSON
Daniel,PERSON
C'mon,PERSON
Daniel,PERSON
Hammer,PRODUCT
Daniel,PERSON
one,CARDINAL
O'Neill,PERSON
Teal,ORG
Hammer,PERSON
Daniel,PERSON
Daniel Jackson.,PERSON
Daniel,PERSON
Teal,PERSON
O'Neill,GPE
Kendra,PERSON
Hammer,PERSON
KENDRA,PERSON
Hammer,PERSON
Goa'uld,PERSON
Hammer,PRODUCT
Hammer,PERSON
"CARTER 
Seal",PERSON
KENDRA,PERSON
KENDRA,PERSON
Daniel,PERSON
DANIEL,GPE
"DANIEL 
 Oh!",PERSON
MALP,ORG
Sagan,PERSON
Kendra,PERSON
Thor,PERSON
"KENDRA 
Thor",PERSON
KENDRA,WORK_OF_ART
Daniel,PERSON
Daniel,PERSON
DHD,ORG
O'Neill,PERSON
Carter,PERSON
Kendra,PERSON
Teal,PERSON
Kendra,PERSON
SG-1,ORG
DHD,ORG
SG-1,FAC
"TEASER 
 FLASHBACK 
 INT—SGC",ORG
1945,DATE
Stargate,PRODUCT
Two,CARDINAL
Army Air Corps,ORG
Ernest,PERSON
Langford,PERSON
First,ORDINAL
Langford,PERSON
"LANGFORD 
Revolve",ORG
"END FLASHBACK 
 INT",ORG
Daniel,PERSON
O'Neill,PERSON
Daniel,PERSON
DANIEL,PERSON
1945,DATE
O'Neill,GPE
"DANIEL 
No",PERSON
Pentagon,ORG
Pentagon,ORG
Pat,PERSON
Daniel,PERSON
two days,DATE
Daniel,PERSON
Stargate,PRODUCT
Jack,PERSON
O'Neill,PERSON
Daniel,PERSON
O'Neill,PERSON
Daniel,PERSON
One,CARDINAL
O'Neill,PERSON
Daniel,PERSON
two,CARDINAL
Catherine Langford,PERSON
Catherine,PERSON
Martha,PERSON
Langford,PERSON
Catherine,PERSON
CATHERINE,PERSON
Daniel,PERSON
Catherine,PERSON
Daniel,PERSON
Catherine,PERSON
O'Neill,PERSON
Abydos,GPE
Daniel,PERSON
Daniel,PERSON
O'Neill,PERSON
Top Secret,ORG
Hammond,PERSON
O'Neill,PERSON
Jackson,PERSON
SG-4,ORG
this morning,TIME
Hammond,PERSON
O'Neill,ORG
Catherine,PERSON
Daniel,PERSON
"DANIEL 
Catherine",PERSON
CATHERINE,PERSON
your Stargate Command,ORG
Thousands,CARDINAL
Stargates,NORP
Six months later,DATE
1945,DATE
Catherine,PERSON
CATHERINE,PERSON
Roosevelt,PERSON
Pentagon,ORG
DANIEL,PERSON
21-year-old,DATE
Ernest,PERSON
Ernest,PERSON
Catherine,PERSON
1945,DATE
Catherine,PERSON
Ernest,PERSON
fifth,ORDINAL
Today,DATE
one,CARDINAL
CATHERINE,PERSON
Ernest,PERSON
Catherine,PERSON
"END FLASHBACK 
 INT—CATHERINE'S DRAWING ROOM",ORG
Catherine,PERSON
DANIEL,GPE
Forty years,DATE
West,LOC
1945,DATE
Daniel,PERSON
1945,DATE
Ernest,PERSON
Catherine,PERSON
Langford,PERSON
over a hundred million,CARDINAL
39,CARDINAL
six,CARDINAL
Catherine,PERSON
Catherine,PERSON
Catherine,PERSON
Ernest,PERSON
Catherine,PERSON
Catherine,PERSON
Catherine,PERSON
DANIEL,PERSON
Ernest,PERSON
Stargate,PRODUCT
Ernest,PERSON
Catherine,PERSON
1945,DATE
Catherine,PERSON
Langford,PERSON
today,DATE
Ernest,PERSON
Catherine,PERSON
DANIEL,PERSON
Ernest,PERSON
Catherine,PERSON
Ernest,PERSON
CATHERINE,PERSON
Stargate,PRODUCT
DANIEL,GPE
CATHERINE,PERSON
first,ORDINAL
Catherine,PERSON
DANIEL,PERSON
"DANIEL 
Computer",ORG
Catherine,PERSON
Ernest,PERSON
Abydos,LOC
Catherine,PERSON
Voiceover,ORG
Hammond,PERSON
HAMMOND,PERSON
Hammond,PERSON
Daniel,PERSON
Catherine,PERSON
HAMMOND,PERSON
"O'NEILL 
Catherine",PERSON
O'Neill,ORG
Teal,PERSON
Jack,PERSON
Catherine,PERSON
Jackson,PERSON
"DANIEL 
Catherine",PERSON
Teal'c,ORG
Catherine,PERSON
Teal,PERSON
Daniel,PERSON
Hammond,PERSON
Jackson,PERSON
Daniel,PERSON
one,CARDINAL
O'Neill,PERSON
DANIEL,PERSON
1945,DATE
Catherine,PERSON
"DANIEL 
General",PERSON
Ernest Littlefield,PERSON
a half a century,DATE
American,NORP
Carter,PERSON
"CARTER 
Sir",GPE
Samantha,PERSON
Catherine,PERSON
Carter,PERSON
Catherine,PERSON
Carter,PERSON
Abydos,GPE
45,DATE
Abydos,GPE
Goa'ulds,PERSON
Goa'ulds,PERSON
Stargates,PERSON
Goa'uld,PERSON
Jackson,PERSON
Ernest Littlefield,PERSON
Catherine,PERSON
O'Neill,PERSON
Daniel,PERSON
Stargate,PRODUCT
Teal'c,PERSON
Carter,PERSON
O'Neill,PERSON
Daniel,PERSON
Catherine,PERSON
Catherine,PERSON
O'Neill,PERSON
O'Neill,PERSON
Daniel,PERSON
O'Neill,PERSON
one,CARDINAL
Stargate,PRODUCT
CASTLE,GPE
MALP,ORG
Daniel,PERSON
Catherine,PERSON
SG-1,PERSON
Catherine,PERSON
two,CARDINAL
Carter,PERSON
CARTER,PERSON
Daniel,PERSON
"DANIEL 
Dr. Littlefield",PERSON
Ernest,PERSON
Daniel,PERSON
Daniel,PERSON
"DANIEL 
Hello",PERSON
Daniel Jackson,PERSON
Stargate,PRODUCT
Ernest,PERSON
Ernest,PERSON
Daniel,PERSON
Ernest,PERSON
Daniel,PERSON
Ernest,PERSON
O'Neill,PERSON
Ernest,PERSON
Teal,PERSON
Carter,PERSON
Daniel,PERSON
Littlefield,PERSON
Daniel,PERSON
Catherine,PERSON
Ernest,PERSON
a few moments,TIME
Ernest,PERSON
Fifty years,DATE
DANIEL,PERSON
HELIOPOLIS ROOM,FAC
Daniel,PERSON
Daniel,PERSON
Ernest,PERSON
Ernest,PERSON
Daniel,PERSON
Ernest,PERSON
DANIEL,GPE
DANIEL,PERSON
Ernest,PERSON
Daniel,PERSON
DANIEL,PERSON
fifty years,DATE
Ernest,PERSON
Daniel,PERSON
Carter,PERSON
Catherine,PERSON
DHD,ORG
Carter,PERSON
Catherine,PERSON
CARTER,PERSON
Daniel,PERSON
Last day,DATE
Ernest,PERSON
Daniel,PERSON
DANIEL,GPE
"DANIEL 
Heliopolis",PERSON
"ERNEST 
Repository",ORG
Egyptian,NORP
Ra.,PERSON
Egyptian,NORP
Ernest,PERSON
Daniel,PERSON
Daniel,PERSON
Ernest,PERSON
Four,CARDINAL
Earth,LOC
Catherine,PERSON
Ernest,PERSON
Catherine,PERSON
Daniel,PERSON
today,DATE
Catherine,PERSON
Catherine,PERSON
CATHERINE,PERSON
two,CARDINAL
Daniel,PERSON
Catherine,PERSON
CATHERINE,PERSON
Ernest,PERSON
"ERNEST 
We—we",PERSON
Ernest,PERSON
O'Neill,PERSON
Teal'c,ORG
Stargate,PRODUCT
Daniel,PERSON
Carter,PERSON
DHD,ORG
Ernest,PERSON
Littlefield,PERSON
Teal,PERSON
O'Neill,PERSON
Catherine,PERSON
Ernest,PERSON
Stargate,FAC
every year,DATE
Every year,DATE
Catherine,PERSON
years,DATE
Daniel,PERSON
DHD,ORG
the Dial-Home Device,ORG
Daniel,PERSON
Daniel,PERSON
DHD,ORG
CARTER,PERSON
Carter,PERSON
Ernest,PERSON
Ernest,PERSON
"EXT—CASTLE 
 [Storm",EVENT
O'Neill,PERSON
Daniel,PERSON
Carter,PERSON
Teal,ORG
Daniel,PERSON
O'Neill,PERSON
Carter and Teal'c,ORG
Catherine,PERSON
O'Neill,PERSON
Ernest,PERSON
Daniel,PERSON
INT—MEETING PLACE,ORG
Ernest,PERSON
four,CARDINAL
four,CARDINAL
Ernest,PERSON
Daniel,PERSON
Daniel,PERSON
four,CARDINAL
a United Nations,ORG
Catherine,PERSON
Ernest,PERSON
INT—CASTLE'S GATE,ORG
Carter,PERSON
Teal'c,ORG
DHD,ORG
Carter,PERSON
a volt meter,QUANTITY
years,DATE
INT—MEETING PLACE,ORG
O'Neill,GPE
O'Neill,GPE
Daniel,PERSON
DANIEL,GPE
Mecca,GPE
United Nations—this,ORG
O'Neill,PERSON
One,CARDINAL
one,CARDINAL
O'Neill,PERSON
one,CARDINAL
One hundred and forty-six,CARDINAL
only one hundred and eleven,CARDINAL
four,CARDINAL
Jack,PERSON
Daniel,PERSON
Ernest,PERSON
DANIEL,PERSON
A hundred and forty-six,CARDINAL
Daniel,PERSON
Daniel,PERSON
four,CARDINAL
INT—CASTLE'S GATE,ORG
Carter,PERSON
Teal'c,ORG
DHD,ORG
DHD,PRODUCT
O'Neill,ORG
Catherine,PERSON
the Dial-Home Device,ORG
Daniel,PERSON
Ernest,PERSON
Carter,PERSON
CATHERINE,PERSON
O'Neill,PERSON
Carter,PERSON
Catherine,PERSON
CATHERINE,PERSON
DHD,ORG
four,CARDINAL
DHD,ORG
INT—MEETING ROOM,FAC
Daniel,PERSON
Ernest,PERSON
one,CARDINAL
DANIEL,PERSON
"DANIEL 
Othala",PERSON
the Norse Rune,WORK_OF_ART
Thor,PERSON
Thor,PERSON
INT—CASTLE'S GATE ROOM,ORG
O'Neill,GPE
Carter,GPE
Teal,ORG
O'Neill,PERSON
Catherine,PERSON
Stargate,PRODUCT
the Dial-Home Device,ORG
INT—MEETING ROOM,ORG
Daniel,PERSON
three,CARDINAL
Daniel,PERSON
Ernest,PERSON
zero,CARDINAL
O'Neill,PERSON
Carter,PERSON
Teal'c,PERSON
Catherine,PERSON
the Meeting Room,FAC
Daniel,PERSON
DANIEL,PERSON
Daniel,PERSON
The Dial-Home Devices,ORG
CARTER,PERSON
"DANIEL 
 Uh…No!",PERSON
Teal'c's,ORG
Daniel,PERSON
O'Neill,PERSON
Daniel,PERSON
Daniel,PERSON
O'Neill,ORG
Daniel,PERSON
Teal,ORG
O'Neill,ORG
O'Neill,PERSON
Ben Franklin,PERSON
O'Neill,PERSON
Carter,PERSON
Stargate,FAC
Carter,PERSON
Teal'c,ORG
Catherine,PERSON
O'Neill,PERSON
Teal,PERSON
Teal,PERSON
O'Neill,PERSON
Carter,PERSON
Ernest,PERSON
Catherine,PERSON
Daniel,PERSON
"ERNEST 
The Torment of Tantalus",WORK_OF_ART
"ERNEST 
Tantalus",PERSON
Greek,NORP
Hades,PERSON
a few moments,TIME
Ernest,PERSON
Catherine,PERSON
Daniel,PERSON
Ernest,PERSON
Catherine,PERSON
Teal,PERSON
INT—THE MEETING ROOM,ORG
Ernest,PERSON
Daniel,PERSON
DANIEL,GPE
Ernest,PERSON
Daniel,PERSON
Daniel,PERSON
Ernest,PERSON
Teal'c,GPE
Ernest,PERSON
Daniel,PERSON
THE CASTLE,FAC
Teal,PERSON
O'Neill,PERSON
Daniel,PERSON
Ernest,PERSON
THE MEETING ROOM,ORG
Daniel,PERSON
Ernest,PERSON
DANIEL,PERSON
O'Neill,ORG
Ernest,PERSON
Daniel,PERSON
O'Neill,GPE
Daniel,PERSON
O'Neill,PERSON
Daniel,PERSON
O'Neill,PERSON
Daniel,PERSON
"DANIEL 
Jack",PERSON
Daniel,PERSON
O'Neill,PERSON
O'Neill,PERSON
Daniel,PERSON
O'Neill,PERSON
Ernest,PERSON
Catherine,PERSON
Carter,PERSON
Ernest,PERSON
Catherine,PERSON
Catherine,PERSON
Ernest,PERSON
Teal,ORG
O'Neill,PERSON
Daniel,PERSON
"CARTER 
Go",WORK_OF_ART
Teal,PERSON
Carter,PERSON
Daniel,PERSON
O'Neill,PERSON
O'Neill,PERSON
Daniel,PERSON
Carter,PERSON
Carter,PERSON
O'Neill,PERSON
Daniel,PERSON
Klaxons,ORG
Hammond,PERSON
the Control Room,FAC
Carter,PERSON
O'Neill,PERSON
Daniel,PERSON
Teal,PERSON
Ernest,PERSON
Catherine,PERSON
O'Neill,PERSON
Daniel,PERSON
Daniel,PERSON
O'Neill,PERSON
Daniel,PERSON
O'Neill,PERSON
Teal'c,ORG
Carter,PERSON
one,CARDINAL
Hammond,PERSON
Harriman,GPE
EXT—CHEYENNE MOUNTAIN ENTRANCE,ORG
Stargate,PRODUCT
Daniel,PERSON
Ernest,PERSON
O'Neill,PERSON
Catherine,PERSON
Ernest,PERSON
"HARRIMAN 
Chevron Six",ORG
Chevron Seven,ORG
O'Neill,PERSON
Catherine,PERSON
Daniel,PERSON
Daniel,PERSON
Carter,PERSON
Ernest,PERSON
DANIEL,GPE
Ernest,PERSON
Daniel,PERSON
Daniel,PERSON
O'Neill,PERSON
Catherine,PERSON
Catherine,PERSON
O'Neill,PERSON
Jack,PERSON
Catherine,PERSON
O'Neill,PERSON
Ernest,PERSON
O'Neill,PERSON
Daniel,PERSON
Marcia for Solutions,ORG
25 Nov 02,DATE
TEASER,PERSON
A LARGE,GPE
Jaffa,GPE
Goa'uld,GPE
Goa'uld,PRODUCT
Teal,PERSON
One,CARDINAL
Teal,PERSON
"PRIEST 
Teal'c",ORG
Teal,PERSON
"PRIEST 
Teal'c",ORG
Teal'c's,ORG
Teal,PERSON
Teal'c,ORG
Rya,PERSON
Rya,PERSON
Rya,PERSON
Rya,PERSON
O'Neill,PERSON
Daniel,PERSON
Carter,PERSON
Teal'c,ORG
Fraiser,ORG
Teal,ORG
Fraiser,GPE
Teal'c's,ORG
Teal,PERSON
SG-1,ORG
Goa'uld,PERSON
Junior,PERSON
Teal,PERSON
Teal,PERSON
"END TEASER 
 OPENING CREDITS 
 EXT—CHEYENNE MOUNTAIN, DAY 
 INT—",ORG
Fraiser,GPE
SG-1,ORG
Hammond,PERSON
Teal'c's,ORG
Goa'uld,PERSON
Earth,LOC
Teal,PERSON
HAMMOND,PERSON
Langley,GPE
Goa'uld,PERSON
"CARTER 
Teal'c",PERSON
Goa'uld,PERSON
many hundreds,CARDINAL
Goa'uld,NORP
Chulak,GPE
one,CARDINAL
Teal'c,WORK_OF_ART
Hammond,PERSON
"O'Neill, Daniel, Carter",ORG
Dr. Fraiser,PERSON
DANIEL,PERSON
O'Neill,PERSON
O'Neill,PERSON
O'Neill,PERSON
O'Neill,ORG
O'Neill,PERSON
Chulak,GPE
Teal,PERSON
O'Neill,ORG
O'Neill,PERSON
TEAL'C,PERSON
Rya,PERSON
O'Neill,PERSON
Teal'c's,ORG
O'NEILL,PERSON
Teal'c's,ORG
O'Neill,PERSON
"O'NEILL 
Teal'c",PERSON
G—no,ORG
O'Neill,PERSON
Chulak,GPE
Primta,PERSON
The day,DATE
first,ORDINAL
Jaffa,PERSON
Jaffa,PERSON
Goa'uld,NORP
Jaffa,PRODUCT
first,ORDINAL
Bra'tac,PERSON
Goa'uld,PERSON
INT—BRIEFING ROOM,ORG
Daniel,PERSON
Carter,PERSON
O'Neill,PERSON
Hammond,PERSON
HAMMOND,PERSON
Teal,PERSON
Goa'uld,PERSON
Jaffa,PERSON
Goa'uld,GPE
Goa'uld,PRODUCT
Faustian,NORP
"O'NEILL 
Teal'c",PERSON
Jaffa,NORP
Goa'uld,PERSON
Goa'uld,ORG
one,CARDINAL
Hammond,PERSON
O'Neill,ORG
O'Neill,GPE
Hammond,PERSON
O'Neill,GPE
Jack,PERSON
O'Neill,ORG
Hammond,PERSON
HAMMOND,PERSON
first,ORDINAL
HAMMOND,PERSON
Goa'uld,ORG
Langley,ORG
O'Neill,PERSON
Carter,PERSON
Daniel,PERSON
Teal,PERSON
HAMMOND,PERSON
Chulak,PERSON
one,CARDINAL
Teal,PERSON
"HAMMOND 
Teal'c",PERSON
Teal,PERSON
Chulak,PERSON
"O'Neill, Daniel, Carter and Hammond",ORG
Teal'c,ORG
Serpent Guard,ORG
Stargate,PRODUCT
TEAL'C,PERSON
Chulak,GPE
O'Neill,ORG
Teal'c,ORG
Daniel,PERSON
Carter,PERSON
TEAL'C,PERSON
TEAL'C,PERSON
"HAMMOND 
Dammit Teal'c",PERSON
Teal'c,PERSON
Hammond,PERSON
HAMMOND,PERSON
Chulak,GPE
Teal,PERSON
Hammond,PERSON
HAMMOND,PERSON
the day,DATE
Stargate,PRODUCT
SG-1,PRODUCT
Teal,PERSON
Serpent Guard,ORG
"CARTER 
Daniel",PERSON
Daniel,PERSON
TEAL'C,ORG
SGC,ORG
Hammond,PERSON
Jaffa,PERSON
Jaffa,ORG
Teal'c,ORG
Apophis,ORG
#1,CARDINAL
#1,CARDINAL
Teal,PERSON
SG-1,ORG
FOREST ON CHULAK,GPE
SG-1,FAC
SG-1,PRODUCT
Apophis,ORG
many years,DATE
Teal,PERSON
SG-1,ORG
Teal'c's,ORG
DANIEL,PERSON
O'Neill,GPE
Carter,PERSON
a long time ago,DATE
"CARTER 
Teal'c",PERSON
O'Neill,PERSON
Carter,PERSON
O'Neill,PERSON
Bra'tac,PERSON
Bra'tac,GPE
"BRA'TAC 
Teal'c. 
 TEAL'C",ORG
Teal,PERSON
Bra'tac,ORG
BRA'TAC,ORG
BRA'TAC,PERSON
Teal,PERSON
Daniel,PERSON
Carter,PERSON
O'Neill,PERSON
Carter,PERSON
Daniel Jackson.,PERSON
Teal,PERSON
first,ORDINAL
Bra'tac,PERSON
Jaffa,PERSON
Bra'tac,PERSON
O'Neill,GPE
Carter,PERSON
BRA'TAC,PERSON
Chulak,PERSON
Daniel,PERSON
Bra'tac,PERSON
Daniel,PERSON
BRA,ORG
Daniel,PERSON
O'Neill,PERSON
O'Neill,ORG
Bra'tac,PRODUCT
Bra'tac,PERSON
Bra'tac,PERSON
Teal,PERSON
a hundred years,DATE
over a hundred years old,DATE
O'Neill,PERSON
Bra'tac,PERSON
A hundred and thirty three,CARDINAL
Bra'tac,PERSON
O'Neill,PERSON
Goa'uld,PERSON
Chulak,PERSON
Earth,LOC
BRA'TAC,PERSON
TEAL'C,ORG
Chulak,GPE
Daniel,PERSON
Stargate,PRODUCT
"CARTER 
Yes",PERSON
"Sir. 
 DANIEL",GPE
a minute ago,TIME
24 hours,TIME
"CARTER 
Yes",GPE
Daniel,PERSON
Carter,PERSON
Kal,PERSON
O'Neill,GPE
FOREST ON,GPE
CHULAK,GPE
DAY,GPE
Bra'tac,PERSON
Stargate,PRODUCT
second,ORDINAL
"BRA'TAC 
Teal'c",PERSON
SGC,ORG
Hammond,PERSON
Hammond,PERSON
Texas,GPE
THE FOREST ON CHULAK,FAC
Carter,PERSON
Daniel,PERSON
"CARTER 
Poor Teal'c",ORG
Carter,PERSON
Daniel,PERSON
Two,CARDINAL
"DANIEL 
Jaffa",PERSON
Apophis,PERSON
CARTER,PERSON
CARTER,PERSON
Daniel,PERSON
Carter,PERSON
FOREST ON,GPE
CHULAK,GPE
DAY,GPE
O'Neill,GPE
Teal,GPE
Bra'tac,GPE
Jaffa,PRODUCT
Teal,PERSON
Rya,PERSON
#2,CARDINAL
Teal,PERSON
Primta,PERSON
Teal,PERSON
Teal'c's,ORG
Teal,PERSON
Goa'uld,PRODUCT
"WOMAN 
Teal'c",PERSON
O'Neill,GPE
Bra'tac,GPE
Drey'auc,PERSON
Drey'auc,PERSON
O'Neill,PERSON
Drey'auc,PERSON
O'Neill,GPE
FOREST ON CHULAK,FAC
O'Neill,GPE
Bra'tac,GPE
Goa'uld,PERSON
DREY'AUC,PERSON
Earth,LOC
Primta,PERSON
DREY'AUC,PERSON
Apophis,PERSON
first,ORDINAL
Drey'auc,PERSON
Teal'c,WORK_OF_ART
Teal,PERSON
Rya'c as Drey'auc,WORK_OF_ART
Teal,PERSON
Drey'auc,PERSON
DREY'AUC,PERSON
TEAL'C,PERSON
Teal,PERSON
Rya,PERSON
FOREST ROAD,GPE
Carter,PERSON
Daniel,PERSON
one,CARDINAL
Rya'c,PERSON
Rya,PERSON
Rya,PERSON
Rya,PERSON
RYA'C,ORG
Teal,PERSON
Rya,PERSON
Drey'auc,GPE
Goa'uld,PERSON
O'Neill,PERSON
Bra'tac,PERSON
Teal,PERSON
O'Neill,PERSON
Earth,LOC
Earth,LOC
Stargate,PRODUCT
EXT—SMALL TEMPLE,ORG
CLEARING,GPE
Carter,PERSON
Daniel,PERSON
"DANIEL 
Bingo",PERSON
CARTER,PERSON
DANIEL,GPE
Chulak,GPE
"DANIEL 
Right",PERSON
Carter,PERSON
Daniel,PERSON
"CARTER 
Okay",GPE
three,CARDINAL
One,CARDINAL
two,CARDINAL
three,CARDINAL
Carter,PERSON
"DANIEL 
Okay",PERSON
four,CARDINAL
Carter,PERSON
Goa'uld,NORP
CARTER,PERSON
"CARTER 
Okay",GPE
Daniel,PERSON
"CARTER 
Daniel",PERSON
DANIEL,GPE
Goa'ulds,PERSON
Goa'uld,PERSON
Carter,PERSON
Daniel,PERSON
Goa'uld,PERSON
Carter,PERSON
Daniel,PERSON
FOREST ON CHULAK,FAC
Bra'tac,GPE
Drey'auc,GPE
O'Neill,GPE
Rya'c,GPE
"O'NEILL 
Carter",PERSON
Daniel,PERSON
Teal,PERSON
Rya,PERSON
Teal,PERSON
"TEAL'C 
Rya'c",PERSON
"Rya'c. 
 O'NEILL 
Teal'c",ORG
Stargate,PRODUCT
Teal,PERSON
more than a couple of hours,TIME
Teal,PERSON
Rya'c's,ORG
Teal'c's,PERSON
Rya'c,WORK_OF_ART
ROAD IN FOREST,GPE
Daniel,PERSON
Carter,PERSON
Daniel,PERSON
Jaffa,GPE
Carter,PERSON
Daniel,PERSON
Daniel,PERSON
Jaffa,LOC
DANIEL,PERSON
Carter,PERSON
Jaffa,GPE
Jaffa,PRODUCT
Stargate,PRODUCT
EXT—SMALL FOREST CLEARING,FAC
Rya'c,GPE
Goa'uld,PERSON
O'Neill,PERSON
Bra'tac,PERSON
Bra'tac,GPE
Carter,PERSON
Daniel,PERSON
Teal'c's,PERSON
Stargate,PRODUCT
