Text,Upos,Xpos
the,DET,DT
Pentagon,PROPN,NNP
.,PUNCT,.
[,PUNCT,-LRB-
Carter,PROPN,NNP
enters,VERB,VBZ
the,DET,DT
room,NOUN,NN
",",PUNCT,","
and,CCONJ,CC
moves,VERB,VBZ
to,ADP,IN
her,PRON,PRP$
seat,NOUN,NN
at,ADP,IN
the,DET,DT
table,NOUN,NN
.,PUNCT,.
],PUNCT,-RRB-
CARTER,PROPN,NNP
I,PRON,PRP
take,VERB,VBP
it,PRON,PRP
you,PRON,PRP
're,AUX,VBP
Colonel,PROPN,NNP
O'Neill,PROPN,NNP
.,PUNCT,.
(,PUNCT,-LRB-
she,PRON,PRP
salutes,VERB,VBZ
),PUNCT,-RRB-
Captain,PROPN,NNP
Samantha,PROPN,NNP
Carter,PROPN,NNP
reporting,VERB,VBG
",",PUNCT,","
sir.,INTJ,UH
[,PUNCT,-LRB-
O'Neill,PROPN,NNP
salutes,VERB,VBZ
back,ADV,RB
.,PUNCT,.
],PUNCT,-RRB-
KAWALSKY,ADJ,JJ
(,PUNCT,-LRB-
smirking,NOUN,NN
),PUNCT,-RRB-
But,CCONJ,CC
of,ADV,RB
course,ADV,RB
you,PRON,PRP
go,VERB,VBP
by,ADP,IN
"""",PUNCT,``
Sam,PROPN,NNP
"""",PUNCT,''
.,PUNCT,.
CARTER,PROPN,NNP
(,PUNCT,-LRB-
returning,VERB,VBG
his,PRON,PRP$
expression,NOUN,NN
),PUNCT,-RRB-
You,PRON,PRP
do,AUX,VBP
n't,PART,RB
have,VERB,VB
to,PART,TO
worry,VERB,VB
",",PUNCT,","
Major,ADJ,JJ
.,PUNCT,.
I,PRON,PRP
played,VERB,VBD
with,ADP,IN
dolls,NOUN,NNS
when,ADV,WRB
I,PRON,PRP
was,AUX,VBD
a,DET,DT
kid,NOUN,NN
.,PUNCT,.
KAWALSKY,ADJ,JJ
G.I.,PROPN,NNP
Joe,PROPN,NNP
?,PUNCT,.
CARTER,PROPN,NNP
No,INTJ,UH
",",PUNCT,","
Major,ADJ,JJ
Matt,PROPN,NNP
Mason,PROPN,NNP
.,PUNCT,.
KAWALSKY,PROPN,NNP
Oh…,PROPN,NNP
(,PUNCT,-LRB-
to,ADP,IN
Ferretti,PROPN,NNP
),PUNCT,-RRB-
Who,PRON,WP
?,PUNCT,.
FERRETTI,PROPN,NNP
Major,PROPN,NNP
Matt,PROPN,NNP
Mason,PROPN,NNP
",",PUNCT,","
astronaut,NOUN,NN
doll,NOUN,NN
.,PUNCT,.
Did,AUX,VBD
you,PRON,PRP
have,VERB,VB
that,DET,DT
cool,ADJ,JJ
little,ADJ,JJ
backpack,NOUN,NN
that,PRON,WDT
made,VERB,VBD
him,PRON,PRP
fly,VERB,VB
?,PUNCT,.
HAMMOND,PROPN,NNP
Let,VERB,VB
's,PRON,PRP
get,AUX,VB
started,VERB,VBN
.,PUNCT,.
Colonel,PROPN,NNP
?,PUNCT,.
O'NEILL,PROPN,NNP
Thank,VERB,VBP
you,PRON,PRP
.,PUNCT,.
(,PUNCT,-LRB-
Carter,PROPN,NNP
sits,VERB,VBZ
),PUNCT,-RRB-
Those,PRON,DT
of,ADP,IN
you,PRON,PRP
on,ADP,IN
your,PRON,PRP$
first,ADJ,JJ
trip,NOUN,NN
through,ADP,IN
the,DET,DT
',PUNCT,``
gate,NOUN,NN
",",PUNCT,","
you,PRON,PRP
should,AUX,MD
be,AUX,VB
prepared,VERB,VBN
for,SCONJ,IN
what,PRON,WP
to,PART,TO
expect,VERB,VB
.,PUNCT,.
CARTER,PROPN,NNP
I,PRON,PRP
've,AUX,VBP
practically,ADV,RB
memorized,VERB,VBN
your,PRON,PRP$
report,NOUN,NN
from,ADP,IN
the,DET,DT
first,ADJ,JJ
mission,NOUN,NN
.,PUNCT,.
I,PRON,PRP
'd,AUX,MD
like,VERB,VB
to,PART,TO
think,VERB,VB
I,PRON,PRP
've,AUX,VBP
been,AUX,VBN
preparing,VERB,VBG
for,ADP,IN
this,DET,DT
my,PRON,PRP$
whole,ADJ,JJ
life,NOUN,NN
.,PUNCT,.
KAWALSKY,ADV,RB
I,PRON,PRP
think,VERB,VBP
what,PRON,WP
the,DET,DT
Colonel,PROPN,NNP
is,AUX,VBZ
saying,VERB,VBG
is,VERB,VBZ
",",PUNCT,","
have,AUX,VBP
you,PRON,PRP
ever,ADV,RB
pulled,VERB,VBN
out,ADP,IN
of,ADP,IN
a,DET,DT
simulated,VERB,VBN
bombing,NOUN,NN
run,NOUN,NN
in,ADP,IN
an,DET,DT
F,NOUN,NN
-,PUNCT,HYPH
16,NUM,CD
at,ADP,IN
8,NUM,CD
-,PUNCT,","
plus,CCONJ,CC
G's,NOUN,NN
?,PUNCT,.
CARTER,PROPN,NNP
Yes,INTJ,UH
.,PUNCT,.
KAWALSKY,PROPN,NNP
(,PUNCT,-LRB-
surprised,ADJ,JJ
),PUNCT,-RRB-
Well,INTJ,UH
",",PUNCT,","
it,PRON,PRP
's,AUX,VBZ
way,ADV,RB
worse,ADJ,JJR
than,ADP,IN
that,PRON,DT
.,PUNCT,.
FERRETTI,PROPN,NNP
By,ADP,IN
the,DET,DT
time,NOUN,NN
you,PRON,PRP
get,VERB,VBP
to,ADP,IN
the,DET,DT
other,ADJ,JJ
side,NOUN,NN
",",PUNCT,","
you,PRON,PRP
're,AUX,VBP
frozen,VERB,VBN
stiff,ADJ,JJ
",",PUNCT,","
like,SCONJ,IN
you,PRON,PRP
've,AUX,VBP
just,ADV,RB
been,AUX,VBN
through,ADP,IN
a,DET,DT
blizzard,NOUN,NN
",",PUNCT,","
naked,ADJ,JJ
.,PUNCT,.
[,PUNCT,-LRB-
He,PRON,PRP
and,CCONJ,CC
Kawalsky,PROPN,NNP
grin,VERB,VBP
at,ADP,IN
each,DET,DT
other,ADJ,JJ
.,PUNCT,.
],PUNCT,-RRB-
CARTER,PROPN,NNP
That,PRON,DT
's,AUX,VBZ
a,DET,DT
result,NOUN,NN
of,ADP,IN
the,DET,DT
compression,NOUN,NN
your,PRON,PRP$
molecules,NOUN,NNS
undergo,VERB,VBP
during,ADP,IN
the,DET,DT
millisecond,NOUN,NN
required,VERB,VBN
for,ADP,IN
reconstitution,NOUN,NN
.,PUNCT,.
O'NEILL,PROPN,NNP
Oh,INTJ,UH
",",PUNCT,","
here,ADV,RB
we,PRON,PRP
go,VERB,VBP
.,PUNCT,.
Another,DET,DT
scientist,NOUN,NN
.,PUNCT,.
General,PROPN,NNP
",",PUNCT,","
please,INTJ,UH
.,PUNCT,.
CARTER,PROPN,NNP
Theoretical,ADJ,JJ
astrophysicist,NOUN,NN
.,PUNCT,.
O'NEILL,PROPN,NNP
Which,PRON,WDT
means,VERB,VBZ
?,PUNCT,.
HAMMOND,PROPN,NNP
Which,PRON,WDT
means,VERB,VBZ
she,PRON,PRP
is,AUX,VBZ
smarter,ADJ,JJR
than,SCONJ,IN
you,PRON,PRP
are,AUX,VBP
",",PUNCT,","
Colonel,PROPN,NNP
.,PUNCT,.
Especially,ADV,RB
in,ADP,IN
matters,NOUN,NNS
related,ADJ,JJ
to,ADP,IN
the,DET,DT
Stargate,PROPN,NNP
.,PUNCT,.
[,PUNCT,-LRB-
Kawalsky,PROPN,NNP
and,CCONJ,CC
Ferretti,PROPN,NNP
are,AUX,VBP
sniggering,VERB,VBG
",",PUNCT,","
O'Neill,PROPN,NNP
looks,VERB,VBZ
over,ADV,RB
to,ADP,IN
them,PRON,PRP
",",PUNCT,","
and,CCONJ,CC
they,PRON,PRP
stop,VERB,VBP
abruptly,ADV,RB
.,PUNCT,.
],PUNCT,-RRB-
CARTER,PROPN,NNP
Colonel,PROPN,NNP
",",PUNCT,","
I,PRON,PRP
was,AUX,VBD
studying,VERB,VBG
the,DET,DT
',PUNCT,``
gate,NOUN,NN
technology,NOUN,NN
for,ADP,IN
two,NUM,CD
years,NOUN,NNS
before,SCONJ,IN
Daniel,PROPN,NNP
Jackson,PROPN,NNP
made,VERB,VBD
it,PRON,PRP
work,NOUN,NN
and,CCONJ,CC
before,SCONJ,IN
you,PRON,PRP
both,DET,DT
went,VERB,VBD
through,ADV,RB
.,PUNCT,.
I,PRON,PRP
should,AUX,MD
have,AUX,VB
gone,VERB,VBN
through,ADP,IN
then,ADV,RB
.,PUNCT,.
But,CCONJ,CC
",",PUNCT,","
sir,PROPN,NNP
",",PUNCT,","
you,PRON,PRP
and,CCONJ,CC
your,PRON,PRP$
men,NOUN,NNS
might,AUX,MD
as,ADV,RB
well,ADV,RB
accept,VERB,VB
the,DET,DT
fact,NOUN,NN
that,SCONJ,IN
I,PRON,PRP
am,AUX,VBP
going,VERB,VBG
through,ADP,IN
this,DET,DT
time,NOUN,NN
.,PUNCT,.
O'NEILL,PROPN,NNP
Well,INTJ,UH
with,ADP,IN
all,DET,DT
due,ADJ,JJ
respect,NOUN,NN
",",PUNCT,","
Doctor,PROPN,NNP
",",PUNCT,","
I,PRON,PRP
…,PUNCT,","
CARTER,PROPN,NNP
It,PRON,PRP
is,AUX,VBZ
appropriate,ADJ,JJ
to,PART,TO
refer,VERB,VB
to,ADP,IN
a,DET,DT
person,NOUN,NN
by,ADP,IN
their,PRON,PRP$
rank,NOUN,NN
",",PUNCT,","
not,ADV,RB
their,PRON,PRP$
salutation,NOUN,NN
.,PUNCT,.
You,PRON,PRP
should,AUX,MD
call,VERB,VB
me,PRON,PRP
"""",PUNCT,``
captain,NOUN,NN
"""",PUNCT,''
",",PUNCT,","
not,ADV,RB
"""",PUNCT,``
doctor,NOUN,NN
"""",PUNCT,''
.,PUNCT,.
HAMMOND,PROPN,NNP
Captain,PROPN,NNP
Carter,PROPN,NNP
's,PART,POS
assignment,NOUN,NN
to,ADP,IN
this,DET,DT
unit,NOUN,NN
is,AUX,VBZ
not,PART,RB
an,DET,DT
option,NOUN,NN
",",PUNCT,","
it,PRON,PRP
's,AUX,VBZ
an,DET,DT
order,NOUN,NN
.,PUNCT,.
CARTER,PROPN,NNP
I,PRON,PRP
'm,AUX,VBP
an,DET,DT
Air,PROPN,NNP
Force,PROPN,NNP
officer,NOUN,NN
just,ADV,RB
like,SCONJ,IN
you,PRON,PRP
are,AUX,VBP
",",PUNCT,","
Colonel,PROPN,NNP
",",PUNCT,","
and,CCONJ,CC
just,ADV,RB
because,SCONJ,IN
my,PRON,PRP$
reproductive,ADJ,JJ
organs,NOUN,NNS
are,AUX,VBP
on,ADP,IN
the,DET,DT
inside,NOUN,NN
instead,ADV,RB
of,ADP,IN
the,DET,DT
outside,ADJ,JJ
",",PUNCT,","
does,AUX,VBZ
n't,PART,RB
mean,VERB,VB
I,PRON,PRP
ca,AUX,MD
n't,PART,RB
handle,VERB,VB
whatever,PRON,WP
you,PRON,PRP
can,AUX,MD
handle,VERB,VB
.,PUNCT,.
O'NEILL,PROPN,NNP
(,PUNCT,-LRB-
smiling,VERB,VBG
and,CCONJ,CC
sitting,NOUN,NN
),PUNCT,-RRB-
Oh,INTJ,UH
",",PUNCT,","
this,PRON,DT
has,VERB,VBZ
nothing,PRON,NN
to,PART,TO
do,VERB,VB
with,SCONJ,IN
you,PRON,PRP
being,AUX,VBG
a,DET,DT
woman,NOUN,NN
.,PUNCT,.
I,PRON,PRP
like,VERB,VBP
women,NOUN,NNS
.,PUNCT,.
I,PRON,PRP
just,ADV,RB
have,VERB,VBP
a,DET,DT
little,ADJ,JJ
problem,NOUN,NN
with,ADP,IN
scientists,NOUN,NNS
.,PUNCT,.
CARTER,PROPN,NNP
Colonel,PROPN,NNP
",",PUNCT,","
I,PRON,PRP
logged,VERB,VBD
over,ADP,IN
a,DET,DT
hundred,NUM,CD
hours,NOUN,NNS
in,ADP,IN
enemy,NOUN,NN
airspace,NOUN,NN
during,ADP,IN
the,DET,DT
Gulf,PROPN,NNP
War,PROPN,NNP
.,PUNCT,.
Is,AUX,VBZ
that,PRON,DT
tough,ADJ,JJ
enough,ADJ,JJ
for,ADP,IN
you,PRON,PRP
?,PUNCT,.
Or,CCONJ,CC
are,AUX,VBP
we,PRON,PRP
going,VERB,VBG
to,PART,TO
have,VERB,VB
to,PART,TO
arm,VERB,VB
wrestle,VERB,VB
?,PUNCT,.
[,PUNCT,-LRB-
O'Neill,PROPN,NNP
raises,VERB,VBZ
his,PRON,PRP$
eyebrows,NOUN,NNS
in,ADP,IN
amusement,NOUN,NN
.,PUNCT,.
],PUNCT,-RRB-
SAMUELS,PROPN,NNP
I,PRON,PRP
hate,VERB,VBP
to,PART,TO
throw,VERB,VB
a,DET,DT
damper,NOUN,NN
on,ADP,IN
your,PRON,PRP$
enthusiasm,NOUN,NN
",",PUNCT,","
but,CCONJ,CC
I,PRON,PRP
still,ADV,RB
say,VERB,VBP
the,DET,DT
safest,ADJ,JJS
",",PUNCT,","
most,ADV,RBS
logical,ADJ,JJ
way,NOUN,NN
to,PART,TO
deal,VERB,VB
with,ADP,IN
this,PRON,DT
is,VERB,VBZ
to,PART,TO
bury,VERB,VB
the,DET,DT
Stargate,PROPN,NNP
",",PUNCT,","
just,ADV,RB
like,SCONJ,IN
the,DET,DT
ancient,ADJ,JJ
Egyptians,PROPN,NNPS
did,VERB,VBD
",",PUNCT,","
and,CCONJ,CC
make,VERB,VB
it,PRON,PRP
impossible,ADJ,JJ
for,SCONJ,IN
the,DET,DT
aliens,NOUN,NNS
to,PART,TO
return,VERB,VB
.,PUNCT,.
It,PRON,PRP
's,AUX,VBZ
the,DET,DT
only,ADJ,JJ
way,NOUN,NN
to,PART,TO
eliminate,VERB,VB
the,DET,DT
threat,NOUN,NN
.,PUNCT,.
O'NEILL,PROPN,NNP
Except,SCONJ,IN
it,PRON,PRP
wo,AUX,MD
n't,PART,RB
work,VERB,VB
.,PUNCT,.
HAMMOND,PROPN,NNP
It,PRON,PRP
worked,VERB,VBD
before,ADV,RB
.,PUNCT,.
O'NEILL,PROPN,NNP
They,PRON,PRP
know,VERB,VBP
what,PRON,WP
we,PRON,PRP
are,AUX,VBP
now,ADV,RB
.,PUNCT,.
They,PRON,PRP
know,VERB,VBP
how,ADV,WRB
far,ADV,RB
we,PRON,PRP
've,AUX,VBP
come,VERB,VBN
.,PUNCT,.
We,PRON,PRP
're,AUX,VBP
a,DET,DT
threat,NOUN,NN
to,ADP,IN
them,PRON,PRP
.,PUNCT,.
They,PRON,PRP
've,AUX,VBP
got,VERB,VBN
ships,NOUN,NNS
",",PUNCT,","
General,PROPN,NNP
.,PUNCT,.
Ra,PROPN,NNP
had,VERB,VBD
one,NUM,CD
as,ADV,RB
big,ADJ,JJ
as,ADP,IN
the,DET,DT
great,ADJ,JJ
pyramids,NOUN,NNS
.,PUNCT,.
They,PRON,PRP
do,AUX,VBP
n't,PART,RB
need,VERB,VB
the,DET,DT
Stargate,PROPN,NNP
to,PART,TO
get,VERB,VB
here,ADV,RB
.,PUNCT,.
They,PRON,PRP
can,AUX,MD
do,VERB,VB
it,PRON,PRP
the,DET,DT
old,ADJ,JJ
fashioned,ADJ,JJ
way,NOUN,NN
.,PUNCT,.
Now,ADV,RB
with,ADP,IN
all,DET,DT
due,ADJ,JJ
respect,NOUN,NN
to,ADP,IN
Mister,PROPN,NNP
Glass,PROPN,NNP
-,PUNCT,","
is,AUX,VBZ
-,PUNCT,HYPH
half,NOUN,NN
-,PUNCT,HYPH
empty,ADJ,JJ
over,ADP,IN
here,ADV,RB
",",PUNCT,","
do,AUX,VBP
n't,PART,RB
you,PRON,PRP
think,VERB,VB
maybe,ADV,RB
we,PRON,PRP
should,AUX,MD
use,VERB,VB
the,DET,DT
Stargate,PROPN,NNP
to,PART,TO
do,VERB,VB
a,DET,DT
little,ADJ,JJ
reconnaissance,NOUN,NN
before,SCONJ,IN
they,PRON,PRP
decide,VERB,VBP
to,PART,TO
come,VERB,VB
back,ADV,RB
…,PUNCT,.
again,ADV,RB
?,PUNCT,.
HAMMOND,PROPN,NNP
I,PRON,PRP
'll,AUX,MD
give,VERB,VB
you,PRON,PRP
exactly,ADV,RB
twenty,NUM,CD
-,SYM,SYM
four,NUM,CD
hours,NOUN,NNS
to,PART,TO
either,CCONJ,CC
return,VERB,VB
or,CCONJ,CC
send,VERB,VB
a,DET,DT
message,NOUN,NN
through,ADV,RB
.,PUNCT,.
No,DET,DT
Kleenex,NOUN,NN
boxes,NOUN,NNS
please,INTJ,UH
.,PUNCT,.
Otherwise,ADV,RB
",",PUNCT,","
we,PRON,PRP
'll,AUX,MD
assume,VERB,VB
the,DET,DT
worst,ADJ,JJS
and,CCONJ,CC
send,VERB,VB
a,DET,DT
bomb,NOUN,NN
through,ADV,RB
.,PUNCT,.
O'NEILL,PROPN,NNP
Understood,VERB,VBD
.,PUNCT,.
INT—GATE,PROPN,NNP
ROOM,NOUN,NN
[,PUNCT,-LRB-
The,DET,DT
Stargate,PROPN,NNP
activates,VERB,VBZ
.,PUNCT,.
The,DET,DT
Colonel,PROPN,NNP
",",PUNCT,","
his,PRON,PRP$
team,NOUN,NN
",",PUNCT,","
and,CCONJ,CC
Hammond,PROPN,NNP
enter,VERB,VBP
the,DET,DT
room,NOUN,NN
.,PUNCT,.
],PUNCT,-RRB-
HAMMOND,PROPN,NNP
Try,VERB,VB
to,PART,TO
follow,VERB,VB
orders,NOUN,NNS
this,DET,DT
time,NOUN,NN
",",PUNCT,","
Colonel,PROPN,NNP
.,PUNCT,.
O'NEILL,PROPN,NNP
Sir,PROPN,NNP
?,PUNCT,.
HAMMOND,PROPN,NNP
This,DET,DT
time,NOUN,NN
you,PRON,PRP
bring,VERB,VBP
Daniel,PROPN,NNP
Jackson,PROPN,NNP
back,ADV,RB
.,PUNCT,.
Is,AUX,VBZ
that,PRON,DT
clear,ADJ,JJ
?,PUNCT,.
O'NEILL,PROPN,NNP
Yes,INTJ,UH
",",PUNCT,","
sir,PROPN,NNP
.,PUNCT,.
[,PUNCT,-LRB-
They,PRON,PRP
salute,VERB,VBP
.,PUNCT,.
],PUNCT,-RRB-
O'NEILL,PROPN,NNP
Move,VERB,VB
out,ADP,RP
.,PUNCT,.
[,PUNCT,-LRB-
His,PRON,PRP$
team,NOUN,NN
walks,VERB,VBZ
through,ADP,IN
the,DET,DT
Stargate,PROPN,NNP
",",PUNCT,","
leaving,VERB,VBG
Carter,PROPN,NNP
and,CCONJ,CC
O'Neill,PROPN,NNP
at,ADP,IN
the,DET,DT
base,NOUN,NN
of,ADP,IN
the,DET,DT
ramp,NOUN,NN
.,PUNCT,.
],PUNCT,-RRB-
O'NEILL,PROPN,NNP
Captain,PROPN,NNP
?,PUNCT,.
CARTER,PROPN,NNP
Oh,INTJ,UH
",",PUNCT,","
do,AUX,VB
n't,PART,RB
worry,VERB,VB
",",PUNCT,","
Colonel,PROPN,NNP
.,PUNCT,.
I,PRON,PRP
wo,AUX,MD
n't,PART,RB
let,VERB,VB
you,PRON,PRP
down,ADP,RP
.,PUNCT,.
O'NEILL,PROPN,NNP
Good,PROPN,NNP
.,PUNCT,.
I,PRON,PRP
was,AUX,VBD
going,VERB,VBG
to,PART,TO
say,VERB,VB
"""",PUNCT,``
ladies,NOUN,NNS
first,ADV,RB
.,PUNCT,.
"""",PUNCT,''
[,PUNCT,-LRB-
They,PRON,PRP
walk,VERB,VBP
to,ADP,IN
the,DET,DT
event,NOUN,NN
horizon,NOUN,NN
.,PUNCT,.
],PUNCT,-RRB-
CARTER,PROPN,NNP
You,PRON,PRP
know,VERB,VBP
",",PUNCT,","
you,PRON,PRP
really,ADV,RB
will,AUX,MD
like,VERB,VB
me,PRON,PRP
when,ADV,WRB
you,PRON,PRP
get,VERB,VBP
to,PART,TO
know,VERB,VB
me,PRON,PRP
.,PUNCT,.
O'NEILL,PROPN,NNP
Oh,INTJ,UH
",",PUNCT,","
I,PRON,PRP
adore,VERB,VBP
you,PRON,PRP
already,ADV,RB
",",PUNCT,","
Captain,PROPN,NNP
.,PUNCT,.
CARTER,PROPN,NNP
(,PUNCT,-LRB-
staring,VERB,VBG
at,ADP,IN
the,DET,DT
even,ADV,RB
horizon,NOUN,NN
up,ADP,RP
close,ADJ,JJ
),PUNCT,-RRB-
My,PRON,PRP$
God,PROPN,NNP
.,PUNCT,.
Look,VERB,VB
at,ADP,IN
this,PRON,DT
!,PUNCT,.
I,PRON,PRP
mean,VERB,VBP
",",PUNCT,","
the,DET,DT
energy,NOUN,NN
the,DET,DT
',PUNCT,``
gate,NOUN,NN
must,AUX,MD
release,VERB,VB
to,PART,TO
create,VERB,VB
a,DET,DT
stable,ADJ,JJ
wormhole,NOUN,NN
is,AUX,VBZ
…,PUNCT,.
it,PRON,PRP
's,AUX,VBZ
astronomical,ADJ,JJ
to,PART,TO
use,VERB,VB
exactly,ADV,RB
the,DET,DT
right,ADJ,JJ
word,NOUN,NN
!,PUNCT,.
(,PUNCT,-LRB-
She,PRON,PRP
touches,VERB,VBZ
it,PRON,PRP
",",PUNCT,","
and,CCONJ,CC
it,PRON,PRP
ripples,VERB,VBZ
.,PUNCT,.
),PUNCT,-RRB-
You,PRON,PRP
can,AUX,MD
actually,ADV,RB
see,VERB,VB
the,DET,DT
fluctuation,NOUN,NN
in,ADP,IN
the,DET,DT
event,NOUN,NN
horizon,NOUN,NN
!,PUNCT,.
[,PUNCT,-LRB-
O'Neill,PROPN,NNP
shoves,VERB,VBZ
her,PRON,PRP
through,ADP,IN
the,DET,DT
',PUNCT,``
gate,NOUN,NN
",",PUNCT,","
then,ADV,RB
walks,VERB,VBZ
through,ADV,RB
after,ADP,IN
her,PRON,PRP
.,PUNCT,.
],PUNCT,-RRB-
WORMHOLE,PROPN,NNP
EFFECT,PROPN,NNP
INT,NOUN,NN
—,PUNCT,","
ABYDOS,PROPN,NNP
STARGATE,PROPN,NNP
ROOM,PROPN,NNP
[,PUNCT,-LRB-
O'Neill,PROPN,NNP
emerges,VERB,VBZ
through,ADP,IN
the,DET,DT
',PUNCT,``
gate,NOUN,NN
",",PUNCT,","
and,CCONJ,CC
it,PRON,PRP
dissipates,VERB,VBZ
behind,ADP,IN
him,PRON,PRP
.,PUNCT,.
His,PRON,PRP$
team,NOUN,NN
are,AUX,VBP
there,ADV,RB
getting,VERB,VBG
ready,ADJ,JJ
.,PUNCT,.
He,PRON,PRP
approaches,VERB,VBZ
Carter,PROPN,NNP
",",PUNCT,","
who,PRON,WP
is,AUX,VBZ
hunched,VERB,VBN
over,ADV,RB
.,PUNCT,.
],PUNCT,-RRB-
CARTER,PROPN,NNP
Ugh,INTJ,UH
.,PUNCT,.
I,PRON,PRP
think,VERB,VBP
I,PRON,PRP
'm,AUX,VBP
going,VERB,VBG
to,PART,TO
be,AUX,VB
sick,ADJ,JJ
",",PUNCT,","
ugh,INTJ,UH
.,PUNCT,.
O'NEILL,PROPN,NNP
Maybe,ADV,RB
you,PRON,PRP
should,AUX,MD
n't,PART,RB
have,AUX,VB
had,VERB,VBN
that,DET,DT
big,ADJ,JJ
lunch,NOUN,NN
",",PUNCT,","
huh,INTJ,UH
?,PUNCT,.
[,PUNCT,-LRB-
They,PRON,PRP
all,DET,DT
move,VERB,VBP
out,ADP,RP
into,ADP,IN
the,DET,DT
apparently,ADV,RB
empty,ADJ,JJ
room,NOUN,NN
when,ADV,WRB
suddenly,ADV,RB
natives,NOUN,NNS
emerge,VERB,VBP
from,ADP,IN
the,DET,DT
shadows,NOUN,NNS
and,CCONJ,CC
point,VERB,VBP
guns,NOUN,NNS
at,ADP,IN
them,PRON,PRP
.,PUNCT,.
They,PRON,PRP
cock,VERB,VBP
their,PRON,PRP$
own,ADJ,JJ
guns—at,NOUN,NN
a,DET,DT
stand,NOUN,NN
off,ADP,RP
.,PUNCT,.
Then,ADV,RB
Daniel,PROPN,NNP
pops,VERB,VBZ
up,ADP,RP
.,PUNCT,.
],PUNCT,-RRB-
DANIEL,PROPN,NNP
Cha'hali,PROPN,NNP
!,PUNCT,.
Cha'hali,PROPN,NNP
.,PUNCT,.
Lower,VERB,VB
your,PRON,PRP$
guns,NOUN,NNS
.,PUNCT,.
[,PUNCT,-LRB-
The,DET,DT
natives,NOUN,NNS
lower,VERB,VB
their,PRON,PRP$
weapons,NOUN,NNS
and,CCONJ,CC
relax,VERB,VB
.,PUNCT,.
],PUNCT,-RRB-
DANIEL,PROPN,NNP
Hello,INTJ,UH
",",PUNCT,","
Jack,PROPN,NNP
.,PUNCT,.
Welcome,VERB,VB
back,ADV,RB
.,PUNCT,.
[,PUNCT,-LRB-
O'Neill,PROPN,NNP
walks,VERB,VBZ
towards,ADP,IN
him,PRON,PRP
and,CCONJ,CC
then,ADV,RB
barges,VERB,VBZ
past,NOUN,NN
to,PART,TO
get,VERB,VB
to,ADP,IN
Skaara,PROPN,NNP
who,PRON,WP
stands,VERB,VBZ
behind,ADP,IN
him,PRON,PRP
.,PUNCT,.
Skaara,PROPN,NNP
salutes,VERB,VBZ
",",PUNCT,","
and,CCONJ,CC
O'Neill,PROPN,NNP
returns,VERB,VBZ
it,PRON,PRP
with,ADP,IN
a,DET,DT
smile,NOUN,NN
",",PUNCT,","
then,ADV,RB
they,PRON,PRP
hug,VERB,VBP
with,ADP,IN
a,DET,DT
laugh,NOUN,NN
.,PUNCT,.
],PUNCT,-RRB-
O'NEILL,PROPN,NNP
Skaara,PROPN,NNP
!,PUNCT,.
SKAARA,PROPN,NNP
O'Neill,PROPN,NNP
!,PUNCT,.
I,PRON,PRP
did,AUX,VBD
not,PART,RB
think,VERB,VB
to,PART,TO
be,AUX,VB
seeing,VERB,VBG
you,PRON,PRP
again,ADV,RB
!,PUNCT,.
O'NEILL,PROPN,NNP
(,PUNCT,-LRB-
turns,VERB,VBZ
to,ADP,IN
Daniel,PROPN,NNP
),PUNCT,-RRB-
Daniel,PROPN,NNP
",",PUNCT,","
how,ADV,WRB
you,PRON,PRP
doing,VERB,VBG
?,PUNCT,.
DANIEL,PROPN,NNP
Uh,INTJ,UH
",",PUNCT,","
good,ADJ,JJ
",",PUNCT,","
you,PRON,PRP
?,PUNCT,.
O'NEILL,PROPN,NNP
Much,ADV,RB
better,ADV,RBR
",",PUNCT,","
now,ADV,RB
that,SCONJ,IN
I,PRON,PRP
see,VERB,VBP
everyone,PRON,NN
's,AUX,VBZ
okay,ADJ,JJ
.,PUNCT,.
FERRETTI,PROPN,NNP
(,PUNCT,-LRB-
making,VERB,VBG
the,DET,DT
"""",PUNCT,``
live,VERB,VB
long,ADV,RB
and,CCONJ,CC
prosper,VERB,VB
"""",PUNCT,''
sign,NOUN,NN
),PUNCT,-RRB-
Greetings,NOUN,NNS
from,ADP,IN
Earth,PROPN,NNP
",",PUNCT,","
Doctor,PROPN,NNP
Jackson,PROPN,NNP
.,PUNCT,.
DANIEL,PROPN,NNP
(,PUNCT,-LRB-
smiling,VERB,VBG
),PUNCT,-RRB-
Hello,INTJ,UH
",",PUNCT,","
Ferretti,PROPN,NNP
.,PUNCT,.
KAWALSKY,ADV,RB
Brought,VERB,VBD
you,PRON,PRP
a,DET,DT
little,ADJ,JJ
something,PRON,NN
",",PUNCT,","
Daniel,PROPN,NNP
.,PUNCT,.
[,PUNCT,-LRB-
He,PRON,PRP
hands,VERB,VBZ
Daniel,PROPN,NNP
a,DET,DT
pocket,NOUN,NN
pack,NOUN,NN
of,ADP,IN
tissues,NOUN,NNS
.,PUNCT,.
],PUNCT,-RRB-
DANIEL,PROPN,NNP
Kawalsky,PROPN,NNP
.,PUNCT,.
[,PUNCT,-LRB-
Sha,PROPN,NNP
're,AUX,VBP
emerges,VERB,VBZ
slightly,ADV,RB
at,ADP,IN
the,DET,DT
side,NOUN,NN
of,ADP,IN
the,DET,DT
room,NOUN,NN
.,PUNCT,.
Daniel,PROPN,NNP
beckons,VERB,VBZ
to,ADP,IN
her,PRON,PRP
.,PUNCT,.
